tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 6,2016,1,31703,31504,"New York City, NY (Metropolitan Area)","Valparaiso, FL",1035,52.0879120879121,261.99746835443,DL,0.580168776371308,272.245818181818,AA,0.364978902953586,242.174566473988
Table 6,2016,1,31703,31775,"New York City, NY (Metropolitan Area)","Sioux Falls, SD",1194,40.5494505494505,357.844715447155,DL,0.509485094850949,366.829787234043,UA,0.265582655826558,338.191836734694
Table 6,2016,1,31703,31884,"New York City, NY (Metropolitan Area)","Spokane, WA",2225,84.9450549450549,275.190815006468,DL,0.441138421733506,297.139296187683,AS,0.19404915912031,224.85
Table 6,2016,1,31703,32323,"New York City, NY (Metropolitan Area)","Wilmington, NC",540,144.945054945055,222.079302501895,AA,0.938589840788476,221.331744749596,AA,0.938589840788476,221.331744749596
Table 6,2016,1,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,8010.43956043956,376.258245421497,UA,0.277618492352013,458.933661115778,B6,0.167171959668016,299.880830461185
Table 6,2016,1,31703,32547,"New York City, NY (Metropolitan Area)","Rochester, MN",983,23.956043956044,285.32247706422,DL,0.596330275229358,291.512307692308,AA,0.348623853211009,275.556578947368
Table 6,2016,1,31703,33184,"New York City, NY (Metropolitan Area)","Saginaw/Bay City/Midland, MI",566,24.6153846153846,322.366517857143,DL,0.745535714285714,321.067664670659,UA,0.21875,316.091836734694
Table 6,2016,1,31703,33192,"New York City, NY (Metropolitan Area)","Sacramento, CA",2553,433.736263736264,270.875019001774,B6,0.293640739802382,240.047023295945,B6,0.293640739802382,240.047023295945
Table 6,2016,1,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,4021.0989010989,191.202787494534,B6,0.309493878443376,183.851796909492,B6,0.309493878443376,183.851796909492
Table 6,2016,1,31703,33214,"New York City, NY (Metropolitan Area)","San Antonio, TX",1624,668.461538461538,272.377691928325,UA,0.302646720368239,297.519934818034,WN,0.1977642610554,216.913216957606
