matches,team,year
11,frc1677,2008
9,frc3208,2010
12,frc1164,2013
39,frc1515,2010
58,frc2471,2014
37,frc1261,2012
11,frc2785,2010
12,frc1591,2012
39,frc3959,2017
13,frc4807,2015
31,frc4505,2013
15,frc1477,2005
12,frc4745,2013
8,frc2596,2008
23,frc5299,2014
32,frc692,2010
11,frc3807,2016
37,frc3059,2010
8,frc5416,2016
80,frc246,2015
42,frc3044,2015
10,frc5350,2015
10,frc5036,2015
22,frc4765,2014
49,frc968,2006
31,frc5183,2015
11,frc1555,2011
8,frc619,2006
3,frc3076,2010
19,frc4567,2013
10,frc4769,2014
12,frc101,2014
14,frc4097,2012
76,frc3146,2015
9,frc5115,2015
57,frc49,2010
9,frc653,2010
10,frc3728,2017
23,frc1270,2008
8,frc2495,2008
10,frc4809,2016
19,frc2004,2012
53,frc379,2012
26,frc5312,2016
10,frc2963,2011
8,frc2667,2017
31,frc3096,2011
17,frc1676,2005
21,frc1391,2009
9,frc5001,2015
26,frc2972,2011
16,frc1636,2005
10,frc2957,2013
33,frc5152,2015
11,frc4708,2013
8,frc1312,2008
9,frc238,2005
10,frc1103,2011
40,frc2729,2012
8,frc1051,2013
24,frc6327,2017
10,frc1543,2011
15,frc2932,2009
10,frc2183,2010
14,frc4491,2013
26,frc3216,2016
19,frc4488,2013
22,frc2587,2009
30,frc451,2011
24,frc1086,2008
24,frc1828,2009
52,frc3618,2013
11,frc5721,2016
55,frc5295,2017
25,frc3200,2017
43,frc5572,2017
9,frc1891,2008
8,frc4773,2015
11,frc1694,2005
55,frc237,2016
60,frc1,2010
12,frc1710,2010
9,frc4054,2012
17,frc1448,2010
10,frc4087,2014
24,frc2429,2015
21,frc1577,2006
69,frc548,2013
26,frc4337,2012
26,frc3393,2011
28,frc1756,2006
8,frc1355,2006
11,frc2634,2013
34,frc88,2006
16,frc2458,2008
11,frc2079,2011
23,frc1418,2011
72,frc4290,2016
7,frc587,2005
10,frc2151,2010
43,frc1126,2006
42,frc830,2009
76,frc1701,2016
20,frc801,2009
12,frc1847,2007
10,frc1787,2012
22,frc812,2017
11,frc2229,2008
28,frc6189,2016
19,frc3355,2011
11,frc2893,2009
36,frc980,2011
19,frc4641,2016
41,frc1325,2013
31,frc5252,2015
8,frc3278,2016
9,frc4286,2014
70,frc33,2006
43,frc5113,2015
15,frc2023,2008
26,frc6589,2017
10,frc3831,2011
10,frc4825,2015
19,frc4945,2015
10,frc2136,2016
10,frc6220,2017
33,frc5940,2016
10,frc5845,2016
17,frc3600,2012
29,frc5662,2016
12,frc3543,2011
43,frc85,2011
11,frc2441,2017
25,frc2338,2010
9,frc6165,2016
18,frc3298,2016
25,frc1527,2005
24,frc2048,2009
10,frc5777,2017
13,frc1951,2008
10,frc5728,2015
22,frc231,2006
23,frc3323,2017
18,frc1143,2008
7,frc1737,2008
31,frc663,2016
27,frc6085,2017
7,frc1389,2005
12,frc2369,2010
15,frc1802,2014
40,frc2974,2011
28,frc4624,2015
8,frc1666,2009
8,frc2606,2017
8,frc2879,2013
23,frc179,2006
39,frc694,2010
8,frc6176,2017
14,frc1258,2010
