"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016inwla","IN District - Tippecanoe Event","inwla",1,"West Lafayette","IN","USA","2016-03-11","2016-03-13",2016,"Indiana","2016in",2016,"in",40.4258686,-86.90806549999999
"2016iri","Indiana Robotics Invitational","iri",99,"Indianapolis","IN","USA","2016-07-15","2016-07-16",2016,,,,,39.768403,-86.158068
"2016iroc","IROC - ILITE Robotics Offseason Challenge","iroc",99,"Virginia","VA","USA","2016-10-22","2016-10-22",2016,,,,,37.4315734,-78.6568942
"2016ista","Israel Regional","ista",0,"Tel Aviv-Yafo","Tel Aviv District","Israel","2016-03-08","2016-03-10",2016,,,,,32.0852999,34.78176759999999
"2016kybb","Battle for the Bluegrass","kybb",99,"Corbin","KY","USA","2016-10-29","2016-10-29",2016,,,,,36.9486986,-84.0968761
"2016lake","Bayou Regional","lake",0,"Kenner","LA","USA","2016-03-16","2016-03-19",2016,,,,,29.9940924,-90.2417434
"2016mabos","NE District - Boston Event","mabos",1,"Boston","MA","USA","2016-04-01","2016-04-03",2016,"New England","2016ne",2016,"ne",42.3600825,-71.0588801
"2016mabsb","Bay State Brawl","mabsb",99,"Massachusetts","MA","USA","2016-10-29","2016-10-29",2016,,,,,42.4072107,-71.3824374
"2016manda","NE District - UMass-Dartmouth Event","manda",1,"Dartmouth","MA","USA","2016-03-18","2016-03-20",2016,"New England","2016ne",2016,"ne",41.6130323,-70.9704787
"2016marc","Michigan Advanced Robotics Competition","marc",99,"Monroe","MI","USA","2016-06-24","2016-06-25",2016,,,,,41.9164343,-83.3977101
"2016marea","NE District - North Shore Event","marea",1,"Reading","MA","USA","2016-03-11","2016-03-13",2016,"New England","2016ne",2016,"ne",42.5256563,-71.0952891
"2016mawor","NE District - WPI Event","mawor",1,"Worcester","MA","USA","2016-03-11","2016-03-13",2016,"New England","2016ne",2016,"ne",,
"2016mdbb","Battle O' Baltimore","mdbb",99,"Maryland","MD","USA","2016-09-23","2016-09-24",2016,,,,,39.0457549,-76.64127119999999
"2016mdbet","CHS District - Greater DC Event","mdbet",1,"Bethesda","MD","USA","2016-03-11","2016-03-13",2016,"Chesapeake","2016chs",2016,"chs",38.984652,-77.0947092
"2016mdblr","CHS District - Northern Maryland Event","mdblr",1,"Bel Air","MD","USA","2016-03-18","2016-03-20",2016,"Chesapeake","2016chs",2016,"chs",,
"2016mdedg","CHS District - Central Maryland Event","mdedg",1,"Edgewater","MD","USA","2016-03-24","2016-03-26",2016,"Chesapeake","2016chs",2016,"chs",38.94056399999999,-76.5629398
"2016melew","NE District - Pine Tree Event","melew",1,"Lewiston","ME","USA","2016-04-07","2016-04-09",2016,"New England","2016ne",2016,"ne",44.100351,-70.21477639999999
"2016mems","Mainely SPIRIT","mems",99,"Oakland","ME","USA","2016-09-17","2016-09-17",2016,,,,,44.5402221,-69.72199499999999
"2016miann","FIM District - Ann Arbor Skyline Event","miann",1,"Ann Arbor","MI","USA","2016-04-07","2016-04-09",2016,"Michigan","2016fim",2016,"fim",42.2808256,-83.7430378
"2016mibg","Bloomfield Girls Robotics Competition","mibg",99,"Bloomfield Hills","MI","USA","2016-11-11","2016-11-12",2016,,,,,42.583645,-83.24548829999999
"2016mibro","FIM District - Woodhaven Event","mibro",1,"Brownstown Charter Township","MI","USA","2016-04-07","2016-04-09",2016,"Michigan","2016fim",2016,"fim",42.1261157,-83.2572332
